Time(s),Frame Rate(fps)
0.12,6.56
0.15,28.55
0.30,6.73
0.31,118.41
0.46,6.59
0.50,25.25
0.65,6.67
0.70,20.30
0.85,6.56
0.88,35.92
1.01,7.52
1.03,49.33
1.20,6.08
1.21,58.93
1.37,6.40
1.41,22.36
1.57,6.56
1.59,47.23
1.77,5.45
1.79,43.84
2.00,4.96
2.01,82.65
2.18,5.80
2.22,26.27
2.28,16.21
2.44,6.10
2.49,24.04
2.53,21.80
2.72,5.19
2.79,16.43
2.91,8.26
2.93,40.35
3.09,6.30
3.14,19.21
3.18,27.39
3.33,6.43
3.44,9.77
3.49,19.32
3.64,6.46
3.73,12.12
3.82,10.26
3.90,12.33
3.94,29.20
4.07,7.75
4.09,39.48
4.15,18.55
4.29,7.17
4.31,46.62
4.37,15.00
4.54,6.03
4.62,12.44
4.70,12.60
4.72,40.32
4.87,6.97
4.92,17.93
5.05,8.06
5.10,21.10
5.19,11.10
5.23,20.93
5.32,11.10
5.35,43.69
5.40,18.54
5.46,17.40
5.57,8.60
5.61,30.30
5.65,24.42
5.79,7.25
5.84,17.21
5.92,13.44
5.95,28.03
6.05,10.16
6.09,25.41
6.20,8.89
6.23,44.83
6.37,6.94
6.42,19.17
6.46,29.17
6.60,6.81
6.63,40.14
6.75,7.93
6.79,25.30
6.90,9.58
6.92,51.02
6.98,16.14
7.11,7.55
