Time(s),Frame Rate(fps)
0.00,475.81
0.01,484.39
0.02,505.57
0.03,350.34
0.04,423.51
0.05,385.20
0.06,177.12
0.07,415.97
0.08,386.90
0.10,198.45
0.10,248.71
0.11,371.82
0.12,444.70
0.13,412.11
0.14,87.39
0.16,45.42
0.17,66.14
0.17,179.24
0.18,383.29
0.19,393.94
0.20,374.90
0.21,97.18
0.22,375.37
0.23,294.76
0.24,481.86
0.25,380.29
0.26,416.65
0.27,382.77
0.28,423.36
0.29,387.15
0.30,449.05
0.31,424.84
0.32,397.78
0.33,436.15
0.34,365.56
0.35,441.05
0.36,164.83
0.37,376.98
0.38,425.23
0.39,429.44
0.40,422.34
0.41,452.96
0.42,433.05
0.43,428.16
0.44,387.73
0.45,539.65
0.46,493.18
0.47,529.04
0.48,499.25
0.49,472.87
0.50,564.45
0.51,270.59
0.52,577.87
0.53,668.64
0.54,632.78
0.55,563.24
0.56,526.00
0.57,559.64
0.58,610.35
0.59,631.26
0.60,678.39
0.61,674.02
0.62,695.55
0.63,719.41
0.64,641.22
0.65,638.92
0.66,353.17
0.67,526.48
0.68,592.44
0.69,742.90
0.70,656.01
0.71,690.91
0.72,634.50
0.73,664.24
0.74,668.01
0.75,633.68
0.76,639.17
0.77,631.50
0.78,582.34
0.79,665.84
0.80,728.38
0.81,290.71
0.82,666.40
0.83,682.75
0.84,661.85
0.85,664.57
0.86,627.46
0.87,620.23
0.88,573.60
0.89,589.31
0.90,638.92
0.91,602.50
0.92,577.14
0.93,670.05
0.94,661.61
0.95,586.15
0.96,293.33
0.97,652.97
0.98,630.74
0.99,571.63
1.00,557.69
1.01,622.00
1.02,575.27
1.03,551.74
1.04,561.78
1.05,641.85
1.06,597.01
1.07,620.54
1.08,588.80
1.09,643.15
1.10,663.60
1.11,347.71
1.12,587.54
1.13,697.85
1.14,675.45
1.15,708.18
1.16,665.12
1.18,425.70
1.18,199.75
1.19,666.10
1.20,628.59
1.21,593.46
1.22,567.21
1.23,620.57
1.24,577.17
1.25,588.55
1.26,360.62
1.27,627.68
1.28,427.33
1.29,466.32
1.30,545.92
1.31,617.39
1.32,558.18
1.33,508.26
1.34,474.11
1.35,591.26
1.36,548.05
1.37,611.29
1.38,577.27
1.39,646.20
1.40,582.08
