Time(s),Frame Rate(fps)
0.00,42.01
0.03,41.36
0.05,45.05
0.07,48.45
0.11,25.10
0.13,44.26
0.16,35.43
0.19,30.21
0.22,33.26
0.25,34.85
0.30,22.10
0.32,37.50
0.36,26.81
0.41,19.99
0.44,36.31
0.47,35.50
0.50,31.90
0.52,41.62
0.55,39.39
0.57,39.77
0.60,37.01
0.65,21.04
0.68,30.04
0.72,25.25
0.75,29.78
0.78,35.25
0.85,15.43
0.88,34.59
0.90,36.25
0.94,24.74
0.97,37.49
1.01,23.27
1.05,31.57
1.07,35.22
1.10,38.48
1.13,34.85
1.18,21.41
1.21,34.37
1.23,37.89
1.26,33.06
1.30,25.83
1.33,30.49
1.36,36.73
1.39,35.74
1.42,36.25
1.45,25.66
1.49,31.63
1.53,20.94
1.59,18.59
1.63,26.96
1.67,23.37
1.71,21.77
1.77,16.44
1.83,16.65
1.97,7.44
2.04,13.69
2.19,6.97
2.34,6.67
2.38,24.44
2.41,34.51
2.48,13.68
2.56,12.30
2.63,13.40
2.69,17.54
2.74,21.15
2.81,15.05
2.89,12.29
2.96,13.26
3.05,10.84
3.19,7.23
3.24,19.51
3.30,16.81
3.35,20.95
3.39,24.75
3.46,15.65
3.56,9.34
3.62,18.81
3.66,21.04
3.72,17.48
3.76,22.56
3.90,7.18
3.96,17.47
4.03,14.54
4.15,8.53
4.23,12.05
4.31,12.98
4.42,9.18
4.53,8.48
4.62,12.21
4.71,10.24
4.79,13.47
4.85,15.10
4.94,11.01
5.03,12.07
5.13,9.80
5.24,8.84
5.36,8.51
5.40,25.26
5.52,8.59
5.68,6.24
5.92,4.14
5.96,25.91
6.05,11.29
6.21,6.24
6.36,6.58
6.48,8.13
6.63,6.55
6.73,10.87
6.89,6.11
6.94,18.63
7.06,8.82
7.17,8.59
